x	y
0.1	-0.29144
0.2	0.157736
0.30000000000000004	0.214392
0.4	0.479088
0.5	-0.331912
0.6	0.06028
0.7	0.051488
0.7999999999999999	-0.089016
0.8999999999999999	-0.060536
0.9999999999999999	0.992856
1.0999999999999999	-0.373312
1.2	0.049816
1.3	-0.35144
1.4000000000000001	-0.074248
1.5000000000000002	0.07744
1.6000000000000003	-0.339184
1.7000000000000004	-0.051112
1.8000000000000005	-0.624824
1.9000000000000006	0.223896
2.0000000000000004	-0.076176
2.1000000000000005	0.203672
2.2000000000000006	-0.20132
2.3000000000000007	0.069536
2.400000000000001	0.036288
2.500000000000001	-0.026176
2.600000000000001	0.004496
2.700000000000001	-0.020328
2.800000000000001	-0.002432
2.9000000000000012	-0.014864
3.0000000000000013	0.00216
3.1000000000000014	-0.001112
3.2000000000000015	0.00964
3.3000000000000016	0.002512
3.4000000000000017	0.002784
3.5000000000000018	0.001184
3.600000000000002	-0.001848
3.700000000000002	0.0068
3.800000000000002	0.000432
3.900000000000002	0.000456
4.000000000000002	-0.002056
4.100000000000001	0.002888
4.200000000000001	0.005064
4.300000000000001	0.0006
4.4	0.00956
4.5	-0.003248
4.6	0.002208
4.699999999999999	0.00964
4.799999999999999	0.004416
4.899999999999999	0.002776
4.999999999999998	-0.000232
