x	y
0.1	-0.9315
0.2	-0.938182
0.30000000000000004	-0.942316
0.4	-0.926436
0.5	-0.947374
0.6	-0.940478
0.7	-0.920694
0.7999999999999999	-0.932628
0.8999999999999999	-0.916424
0.9999999999999999	-0.9175
1.0999999999999999	-0.90299
1.2	-0.890902
1.3	-0.88173
1.4000000000000001	-0.868362
1.5000000000000002	-0.8483
1.6000000000000003	-0.846596
1.7000000000000004	-0.824322
1.8000000000000005	-0.822176
1.9000000000000006	-0.789266
2.0000000000000004	-0.623332
2.1000000000000005	-0.561366
2.2000000000000006	-0.509728
2.3000000000000007	-0.47582
2.400000000000001	-0.444766
2.500000000000001	-0.416938
2.600000000000001	-0.411328
2.700000000000001	-0.389786
2.800000000000001	-0.382942
2.9000000000000012	-0.372216
3.0000000000000013	-0.359392
3.1000000000000014	-0.355486
3.2000000000000015	-0.347128
3.3000000000000016	-0.344546
3.4000000000000017	-0.335918
3.5000000000000018	-0.33038
3.600000000000002	-0.3215
3.700000000000002	-0.318494
3.800000000000002	-0.313298
3.900000000000002	-0.306584
4.000000000000002	-0.302232
4.100000000000001	-0.299818
4.200000000000001	-0.293812
4.300000000000001	-0.288758
4.4	-0.286326
4.5	-0.286322
4.6	-0.279512
4.699999999999999	-0.274502
4.799999999999999	-0.274074
4.899999999999999	-0.270884
4.999999999999998	-0.266848
